date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,4202008,5,78,0.0641025641025641
2019-01-01,4202404,4,168,0.023809523809523808
2019-01-01,4202537,1,1,1.0
2019-01-01,4202800,2,15,0.13333333333333333
2019-01-01,4202909,3,69,0.043478260869565216
2019-01-01,4203006,1,29,0.034482758620689655
2019-01-01,4203204,2,33,0.06060606060606061
2019-01-01,4203501,1,9,0.1111111111111111
2019-01-01,4203600,1,22,0.045454545454545456
2019-01-01,4203808,1,34,0.029411764705882353
2019-01-01,4204202,1,77,0.012987012987012988
2019-01-01,4204301,1,38,0.02631578947368421
2019-01-01,4204608,8,90,0.08888888888888889
2019-01-01,4204905,1,5,0.2
2019-01-01,4205159,1,2,0.5
2019-01-01,4205407,7,194,0.03608247422680412
2019-01-01,4206306,1,9,0.1111111111111111
2019-01-01,4206504,1,12,0.08333333333333333
2019-01-01,4207205,1,6,0.16666666666666666
2019-01-01,4207650,1,5,0.2
2019-01-01,4208203,1,88,0.011363636363636364
2019-01-01,4208450,2,12,0.16666666666666666
2019-01-01,4208906,1,60,0.016666666666666666
2019-01-01,4209003,1,11,0.09090909090909091
2019-01-01,4209102,7,265,0.026415094339622643
2019-01-01,4209300,1,95,0.010526315789473684
2019-01-01,4209409,1,40,0.025
2019-01-01,4210001,1,6,0.16666666666666666
2019-01-01,4210100,1,33,0.030303030303030304
2019-01-01,4210407,1,6,0.16666666666666666
2019-01-01,4210506,1,14,0.07142857142857142
2019-01-01,4211306,1,45,0.022222222222222223
2019-01-01,4211603,1,9,0.1111111111111111
2019-01-01,4211900,1,54,0.018518518518518517
2019-01-01,4212502,1,19,0.05263157894736842
2019-01-01,4213500,1,9,0.1111111111111111
2019-01-01,4213906,1,1,1.0
2019-01-01,4214508,1,5,0.2
2019-01-01,4214805,1,29,0.034482758620689655
2019-01-01,4215109,1,7,0.14285714285714285
2019-01-01,4216255,1,4,0.25
2019-01-01,4216602,2,116,0.017241379310344827
2019-01-01,4216701,1,4,0.25
2019-01-01,4217808,1,9,0.1111111111111111
2019-01-01,4218509,1,5,0.2
2019-01-01,4218707,2,62,0.03225806451612903
2019-01-01,4219200,1,1,1.0
2019-01-01,4219408,1,6,0.16666666666666666
2019-01-01,4300505,1,8,0.125
2019-01-01,4300703,1,4,0.25
2019-01-01,4300877,1,6,0.16666666666666666
2019-01-01,4301602,2,90,0.022222222222222223
2019-01-01,4302006,1,4,0.25
2019-01-01,4302105,1,61,0.01639344262295082
2019-01-01,4303004,2,65,0.03076923076923077
2019-01-01,4303103,1,86,0.011627906976744186
2019-01-01,4303509,1,58,0.017241379310344827
