"Munic�pio";"Popula��o_residente"
"220080 ANTONIO ALMEIDA";3164
"220090 AROAZES";5835
"220095 AROEIRAS DO ITAIM";2551
"220100 ARRAIAL";4727
"220105 ASSUNCAO DO PIAUI";7846
"220110 AVELINO LOPES";11289
"220115 BAIXA GRANDE DO RIBEIRO";11586
"220117 BARRA D'ALCANTARA";3951
"220120 BARRAS";47066
"220130 BARREIRAS DO PIAUI";3348
"220140 BARRO DURO";7032
"220150 BATALHA";26857
"220155 BELA VISTA DO PIAUI";4015
"220157 BELEM DO PIAUI";3566
"220160 BENEDITINOS";10467
"220170 BERTOLINIA";5501
"220173 BETANIA DO PIAUI";6205
"220177 BOA HORA";6781
"220180 BOCAINA";4500
"220190 BOM JESUS";25179
"220191 BOM PRINCIPIO DO PIAUI";5630
"220192 BONFIM DO PIAUI";5670
"220194 BOQUEIRAO DO PIAUI";6407
"220196 BRASILEIRA";8329
"220198 BREJO DO PIAUI";3875
"220200 BURITI DOS LOPES";19781
"220202 BURITI DOS MONTES";8244
"220205 CABECEIRAS DO PIAUI";10586
"220207 CAJAZEIRAS DO PIAUI";3559
"220208 CAJUEIRO DA PRAIA";7642
"220209 CALDEIRAO GRANDE DO PIAUI";5776
"220210 CAMPINAS DO PIAUI";5613
"220211 CAMPO ALEGRE DO FIDALGO";5045
"220213 CAMPO GRANDE DO PIAUI";5943
"220217 CAMPO LARGO DO PIAUI";7279
"220220 CAMPO MAIOR";46833
"220225 CANAVIEIRA";3950
"220230 CANTO DO BURITI";21187
"220240 CAPITAO DE CAMPOS";11417
"220245 CAPITAO GERVASIO OLIVEIRA";4100
"220250 CARACOL";10916
"220253 CARAUBAS DO PIAUI";5868
"220255 CARIDADE DO PIAUI";5067
"220260 CASTELO DO PIAUI";19716
"220265 CAXINGO";5424
"220270 COCAL";27787
"220271 COCAL DE TELHA";4891
"220272 COCAL DOS ALVES";6153
"220273 COIVARAS";4020
"220275 COLONIA DO GURGUEIA";6484
"220277 COLONIA DO PIAUI";7656
"220280 CONCEICAO DO CANINDE";4803
"220285 CORONEL JOSE DIAS";4682
"220290 CORRENTE";26644
"220300 CRISTALANDIA DO PIAUI";8294
"220310 CRISTINO CASTRO";10423
"220320 CURIMATA";11388
"220323 CURRAIS";4954
"220325 CURRALINHOS";4443
"220327 CURRAL NOVO DO PIAUI";5343
"220330 DEMERVAL LOBAO";13817
"220335 DIRCEU ARCOVERDE";7011
"220340 DOM EXPEDITO LOPES";6904
"220342 DOMINGOS MOURAO";4355
"220345 DOM INOCENCIO";9556
"220350 ELESBAO VELOSO";14602
"220360 ELISEU MARTINS";4915
